"umlsid"	"parent_1"	"parent_2"	"parent_3"
"C0267716"	"http://bio2rdf.org/meddra:10029559"	"http://bio2rdf.org/meddra:10069888"	"http://bio2rdf.org/meddra:10022117"
"C0156122"	"http://bio2rdf.org/meddra:10029559"	"http://bio2rdf.org/meddra:10069888"	"http://bio2rdf.org/meddra:10022117"
"C1442980"	"http://bio2rdf.org/meddra:10029559"	"http://bio2rdf.org/meddra:10069888"	"http://bio2rdf.org/meddra:10022117"
"C0238217"	"http://bio2rdf.org/meddra:10046588"	"http://bio2rdf.org/meddra:10069888"	"http://bio2rdf.org/meddra:10022117"
"C0852980"	"http://bio2rdf.org/meddra:10057191"	"http://bio2rdf.org/meddra:10069888"	"http://bio2rdf.org/meddra:10022117"
"C0549384"	"http://bio2rdf.org/meddra:10068755"	"http://bio2rdf.org/meddra:10069888"	"http://bio2rdf.org/meddra:10022117"
"C0565653"	"http://bio2rdf.org/meddra:10068755"	"http://bio2rdf.org/meddra:10069888"	"http://bio2rdf.org/meddra:10022117"
"C0857806"	"http://bio2rdf.org/meddra:10068755"	"http://bio2rdf.org/meddra:10069888"	"http://bio2rdf.org/meddra:10022117"
"C0015927"	"http://bio2rdf.org/meddra:10053173"	"http://bio2rdf.org/meddra:10000211"	"http://bio2rdf.org/meddra:10036585"
"C0878773"	"http://bio2rdf.org/meddra:10028639"	"http://bio2rdf.org/meddra:10004994"	"http://bio2rdf.org/meddra:10038359"
"C0019572"	"http://bio2rdf.org/meddra:10013307"	"http://bio2rdf.org/meddra:10014701"	"http://bio2rdf.org/meddra:10014698"
"C0271578"	"http://bio2rdf.org/meddra:10013307"	"http://bio2rdf.org/meddra:10014701"	"http://bio2rdf.org/meddra:10014698"
"C0020624"	"http://bio2rdf.org/meddra:10013307"	"http://bio2rdf.org/meddra:10014701"	"http://bio2rdf.org/meddra:10014698"
"C0022735"	"http://bio2rdf.org/meddra:10013322"	"http://bio2rdf.org/meddra:10014701"	"http://bio2rdf.org/meddra:10014698"
