"drugid"	"se"
"DB00804"	"http://bio2rdf.org/umls:C0013395"
"DB00363"	"http://bio2rdf.org/umls:C0007384"
"DB00531"	"http://bio2rdf.org/umls:C0013604"
"DB00363"	"http://bio2rdf.org/umls:C0152021"
"DB00531"	"http://bio2rdf.org/umls:C0012833"
"DB00363"	"http://bio2rdf.org/umls:C0028084"
"DB00250"	"http://bio2rdf.org/umls:C0151505"
"DB00531"	"http://bio2rdf.org/umls:C0019151"
"DB00575"	"http://bio2rdf.org/umls:C0008031"
"DB00531"	"http://bio2rdf.org/umls:C0003862"
"DB00575"	"http://bio2rdf.org/umls:C0149725"
"DB00531"	"http://bio2rdf.org/umls:C0595939"
"DB00746"	"http://bio2rdf.org/umls:C0003862"
"DB08826"	"http://bio2rdf.org/umls:C0007760"
"DB00531"	"http://bio2rdf.org/umls:C0027441"
"DB00804"	"http://bio2rdf.org/umls:C0015672"
"DB00531"	"http://bio2rdf.org/umls:C0600142"
"DB00804"	"http://bio2rdf.org/umls:C0027497"
"DB00575"	"http://bio2rdf.org/umls:C0152517"
"DB00746"	"http://bio2rdf.org/umls:C0086543"
"DB00531"	"http://bio2rdf.org/umls:C0038362"
"DB00531"	"http://bio2rdf.org/umls:C0162283"
"DB00363"	"http://bio2rdf.org/umls:C0853692"
"DB00804"	"http://bio2rdf.org/umls:C1704272"
"DB08826"	"http://bio2rdf.org/umls:C0004238"
"DB01394"	"http://bio2rdf.org/umls:C0002874"
"DB00804"	"http://bio2rdf.org/umls:C0015230"
"DB00531"	"http://bio2rdf.org/umls:C0747102"
"DB00531"	"http://bio2rdf.org/umls:C0012739"
"DB00575"	"http://bio2rdf.org/umls:C0027424"
"DB08826"	"http://bio2rdf.org/umls:C0020458"
"DB00363"	"http://bio2rdf.org/umls:C0020457"
"DB00531"	"http://bio2rdf.org/umls:C0476273"
"DB08826"	"http://bio2rdf.org/umls:C1096256"
"DB08826"	"http://bio2rdf.org/umls:C0029134"
"DB00804"	"http://bio2rdf.org/umls:C0002792"
"DB00575"	"http://bio2rdf.org/umls:C0687713"
"DB00531"	"http://bio2rdf.org/umls:C0030193"
"DB01394"	"http://bio2rdf.org/umls:C0687713"
"DB00804"	"http://bio2rdf.org/umls:C0037383"
"DB08826"	"http://bio2rdf.org/umls:C0019079"
"DB01068"	"http://bio2rdf.org/umls:C0231528"
"DB00575"	"http://bio2rdf.org/umls:C0917801"
"DB00363"	"http://bio2rdf.org/umls:C0080274"
"DB00804"	"http://bio2rdf.org/umls:C0042109"
"DB00363"	"http://bio2rdf.org/umls:C0020538"
"DB08826"	"http://bio2rdf.org/umls:C0014038"
"DB00861"	"http://bio2rdf.org/umls:C0036974"
"DB00531"	"http://bio2rdf.org/umls:C0041959"
"DB00363"	"http://bio2rdf.org/umls:C0235416"
"DB01394"	"http://bio2rdf.org/umls:C0002170"
"DB00363"	"http://bio2rdf.org/umls:C0020456"
"DB00804"	"http://bio2rdf.org/umls:C0338831"
"DB00363"	"http://bio2rdf.org/umls:C0003811"
"DB00363"	"http://bio2rdf.org/umls:C0014394"
"DB00363"	"http://bio2rdf.org/umls:C0008031"
"DB00363"	"http://bio2rdf.org/umls:C0040479"
"DB00531"	"http://bio2rdf.org/umls:C0018790"
"DB00804"	"http://bio2rdf.org/umls:C0033774"
"DB00363"	"http://bio2rdf.org/umls:C0034065"
"DB00531"	"http://bio2rdf.org/umls:C0521839"
"DB00531"	"http://bio2rdf.org/umls:C0043049"
"DB00804"	"http://bio2rdf.org/umls:C0026961"
"DB08826"	"http://bio2rdf.org/umls:C0026766"
"DB01068"	"http://bio2rdf.org/umls:C0233494"
"DB00531"	"http://bio2rdf.org/umls:C0005684"
"DB00575"	"http://bio2rdf.org/umls:C0028084"
"DB00924"	"http://bio2rdf.org/umls:C0855242"
"DB00531"	"http://bio2rdf.org/umls:C2363731"
"DB00861"	"http://bio2rdf.org/umls:C0854456"
"DB00531"	"http://bio2rdf.org/umls:C0005758"
"DB00924"	"http://bio2rdf.org/umls:C0021177"
"DB00363"	"http://bio2rdf.org/umls:C0392156"
"DB06243"	"http://bio2rdf.org/umls:C0542571"
"DB00531"	"http://bio2rdf.org/umls:C0151623"
"DB00531"	"http://bio2rdf.org/umls:C0015967"
"DB00531"	"http://bio2rdf.org/umls:C0028949"
"DB00746"	"http://bio2rdf.org/umls:C0340865"
"DB00575"	"http://bio2rdf.org/umls:C0042029"
"DB00531"	"http://bio2rdf.org/umls:C0595916"
"DB00363"	"http://bio2rdf.org/umls:C0344232"
"DB00804"	"http://bio2rdf.org/umls:C0041834"
"DB00531"	"http://bio2rdf.org/umls:C0004238"
"DB00746"	"http://bio2rdf.org/umls:C0040264"
"DB00531"	"http://bio2rdf.org/umls:C0008370"
"DB08826"	"http://bio2rdf.org/umls:C0020517"
"DB08826"	"http://bio2rdf.org/umls:C0020649"
"DB00861"	"http://bio2rdf.org/umls:C0030252"
"DB00182"	"http://bio2rdf.org/umls:C0376297"
"DB00531"	"http://bio2rdf.org/umls:C0232462"
"DB00575"	"http://bio2rdf.org/umls:C0000737"
"DB08826"	"http://bio2rdf.org/umls:C0032285"
"DB00363"	"http://bio2rdf.org/umls:C2363730"
"DB08826"	"http://bio2rdf.org/umls:C0085593"
"DB00861"	"http://bio2rdf.org/umls:C0011053"
"DB00804"	"http://bio2rdf.org/umls:C0039070"
"DB00531"	"http://bio2rdf.org/umls:C0017160"
"DB00575"	"http://bio2rdf.org/umls:C0013456"
"DB00363"	"http://bio2rdf.org/umls:C1443060"
"DB01394"	"http://bio2rdf.org/umls:C0011603"
"DB00746"	"http://bio2rdf.org/umls:C0018939"
"DB00531"	"http://bio2rdf.org/umls:C0031046"
"DB08826"	"http://bio2rdf.org/umls:C0017979"
"DB00531"	"http://bio2rdf.org/umls:C1145670"
"DB00363"	"http://bio2rdf.org/umls:C0033117"
